Date,Sales,Salesimp,Staunton Jams,Salesadj
2/20/2009,376.83,376.83,0,376.83
2/21/2009,518.23,518.23,0,518.23
2/22/2009,389.26,389.26,0,389.26
2/23/2009,212.66,212.66,0,212.66
2/24/2009,186.03,186.03,0,186.03
2/25/2009,228.36,228.36,0,228.36
2/26/2009,366.59,366.59,0,366.59
2/27/2009,424.29,424.29,0,424.29
2/28/2009,552.48,552.48,0,552.48
3/1/2009,82.98,82.98,0,82.98
3/2/2009,116.47,116.47,0,116.47
3/3/2009,86.28,86.28,0,86.28
3/4/2009,290.16,290.16,0,290.16
3/5/2009,227.64,227.64,0,227.64
3/6/2009,547.49,547.49,0,547.49
3/7/2009,1076.34,1076.34,0,1076.34
3/8/2009,729.21,729.21,0,729.21
3/9/2009,503.99,503.99,0,503.99
3/10/2009,267.74,267.74,0,267.74
3/11/2009,463.84,463.84,0,463.84
3/12/2009,304.8,304.8,0,304.8
3/13/2009,368.82,368.82,0,368.82
3/14/2009,475.78,475.78,0,475.78
3/15/2009,223.92,223.92,0,223.92
3/16/2009,178.7,178.7,0,178.7
3/17/2009,330.85,330.85,0,330.85
3/18/2009,501.09,501.09,0,501.09
3/19/2009,287.76,287.76,0,287.76
3/20/2009,645.32,645.32,0,645.32
3/21/2009,933.98,933.98,0,933.98
3/22/2009,721,721,0,721
3/23/2009,295.57,295.57,0,295.57
3/24/2009,215.64,215.64,0,215.64
3/25/2009,209.75,209.75,0,209.75
3/26/2009,321.26,321.26,0,321.26
3/27/2009,674.85,674.85,0,674.85
3/28/2009,772.45,772.45,0,772.45
3/29/2009,552.7,552.7,0,552.7
3/30/2009,309.61,309.61,0,309.61
3/31/2009,375.49,375.49,0,375.49
4/1/2009,390.91,390.91,0,390.91
4/2/2009,299.76,299.76,0,299.76
4/3/2009,591.17,591.17,0,591.17
4/4/2009,871.46,871.46,0,871.46
4/5/2009,741.34,741.34,0,741.34
4/6/2009,367.21,367.21,0,367.21
4/7/2009,335.25,335.25,0,335.25
4/8/2009,288.48,288.48,0,288.48
4/9/2009,517.62,517.62,0,517.62
4/10/2009,791.26,791.26,0,791.26
4/11/2009,781.52,781.52,0,781.52
4/12/2009,,703.85,0,703.85
4/13/2009,231.17,231.17,0,231.17
4/14/2009,254.83,254.83,0,254.83
4/15/2009,281.51,281.51,0,281.51
4/16/2009,421.99,421.99,0,421.99
4/17/2009,1183.43,1183.43,0,1183.43
4/18/2009,1078.27,1078.27,0,1078.27
4/19/2009,538.18,538.18,0,538.18
4/20/2009,273.14,273.14,0,273.14
4/21/2009,299.05,299.05,0,299.05
4/22/2009,667.84,667.84,0,667.84
4/23/2009,518.66,518.66,0,518.66
4/24/2009,982.22,982.22,0,982.22
4/25/2009,1538.68,1538.68,0,1538.68
4/26/2009,983.16,983.16,0,983.16
4/27/2009,,278.87,0,278.87
4/28/2009,445.46,445.46,0,445.46
4/29/2009,173.81,173.81,0,173.81
4/30/2009,462.36,462.36,0,462.36
5/1/2009,638.49,638.49,0,638.49
